Country,Species,Scientific_Species,Genes,details_url,Institute,Editing_Method,Delivery,Foreign_DNA,Regulatory_Process,NGT
Australia,"Chicken
          (",Gallus gallus,Site directed integration for null-segregant technology,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=89&RegProcess=0,"Agricultural Technology Research InstituteXiangshan Dist., HsinchuTW",Embryo edit,Directive microinjection of two gRNAs and Cas9 mRNA into the cytoplasm of pronuclear zygotes efficiently generated four piglets confirmed as CD163 knockout (KO) and/or CD163 exon 7 deleted (CD163?E7),No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,CD163,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=151&RegProcess=0,"Jilin University, ChangchunJilin ProvinceCN",Cloned cell line,The three plasmids were cotransfected into cells under optimal conditions by electroporation.,Yes,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,pAPN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=196&RegProcess=0,Jiangsu Provincial Engineering Research Center for Precision Animal BreedingNanjing 210014CN,Embryo edit,,No,No,CRISPR
China,"Sheep
          (",Ovis aries,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=127&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,"Let-7-gRNA transgenic vector was microinjected into G0 embryos, and the positive G1 broods were screened in day 6 embryos by examining the expression of green fluorescence protein (GFP) in the eyes",Yes,No,CRISPR
China,"Silkworm
          (",Bombyx mori,let-7,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=32&RegProcess=0,AgResearch LtdNZ,Embryo edit,"microinjection, plasmid, ssODN",No,No,CRISPR
New Zealand,"Sheep
          (",Ovis aries,"NANOS2, DAZL",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=207&RegProcess=0,"Shandong Provincial Maternal and Child Health Care Hospital, Jinan, China and Department of Biological Sciences, National University of SingaporeSG",Embryo edit,RNP complex was microinjected into the cytoplasm,No,No,CRISPR
Singapore,"Redhead cichlid
          (",Vieja melanura,slc45a2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=195&RegProcess=0,"Shandong Provincial Maternal and Child Health Care Hospital, Jinan, China and Department of Biological Sciences, National University of SingaporeSG",Embryo edit,RNP complex was microinjected into the cytoplasm,No,No,CRISPR
Singapore,"Royal farlowella
          (",Sturisoma panamense,slc45a2,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=145&RegProcess=0,"Depatment of Bio Life Science, ShinGu UniversitySeongnam 13174KR",Other,"For the Z chromosome KI experiment, 7.5 ÂµL Lipofectamine 3000 Reagent were diluted in 250 ÂµL OPTI-MEM (Invitrogen, USA), and the Cas9 expression plasmid, Z chr gRNA, and donor GFP KI vector (1.5:1:3.0 Âµg) were mixed with Lipofectamine P3000 Reagent in 250 ÂµL OPTI-MEM at room temperature",Yes,No,CRISPR
South Korea,"Chicken
          (",Gallus gallus,GFP,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=79&RegProcess=0,"US Meat Animal Research Center, United States Department of Agriculture (USDA)Clay Center, NEUS",Cloned cell line,"65 pmol of gRNA, 78 pmol of Alt-R S.p. HiFi Cas9 Nuclease V3, and 0.11 nmol of the ssODN were added to the cells.",Yes,No,CRISPR
United States,"Cattle
          (",Bos taurus x Bos taurus indicus,CD46,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=55&RegProcess=0,"School of Fisheries, Aquaculture and Aquatic Sciences, Auburn UniversityAuburn, AL, 36849US",Embryo edit,"The ccÃA-msElovl2 transgene containing masu salmon, Oncorhynchus masou, elongase gene driven by the common carp, Cyprinus carpio, Ã-actin promoter was inserted into the channel catfish melanocortin-4 receptor (mc4r) gene",Yes,No,CRISPR
United States,"Channel catfish
          (",Ictalurus punctatus,elongase,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=90&RegProcess=0,"Acceligen Inc.Eagan, MNUS",Embryo edit,"single guide RNA (sgRNA) targeted the second exon, upstream of the sequence encoding the highly conserved KISS1 10-amino acid core. The designed sgRNA and Cas9 were co-injected into zygotes with two HDR templates, which separately contained a stop codon (HDRSC) and a silent blocking mutation (HDRBM). Single-stranded donor oligonucleotides (ssODNs)",Yes,No,CRISPR
United States,"Pig
          (",Sus scrofa domesticus,KISS1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=165&RegProcess=0,Inner Mongolia UniversityHohhot 010021CN,Cloned cell line,Transfection of fibrobrasts,No,No,CRISPR
China,"Cattle
          (",Bos taurus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=7&RegProcess=0,"Northwest A&F UniversityYangling 712100, ShaanxiCN",Embryo edit,microinjection approach of the CRISPR/Cas9 system,No,No,CRISPR
China,"Goat
          (",Capra hircus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=65&RegProcess=0,Southwest University400715 ChongqingCN,Embryo edit,,No,No,CRISPR
China,"Nile tilapia
          (",Oreochromis niloticus,"pmela, pmelb",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=110&RegProcess=0,"Northwest A&F UniversityYangling 712100, ShaanxiCN",Cloned cell line,Electrotransfection,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,"CD163, MSTN",https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=5&RegProcess=0,"Jilin University, ChangchunJilin ProvinceCN",Cloned cell line,Cells were cloned,No,No,CRISPR
China,"Pig
          (",Sus scrofa domesticus,PCBP1,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=186&RegProcess=0,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi UniversityNanningCN",Embryo edit,,No,No,CRISPR
China,"Rabbit
          (",Oryctolagus cuniculus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=121&RegProcess=0,"Northwest A&F UniversityYangling 712100, ShaanxiCN",Embryo edit,Microinjection of 100 ng/ ÂµL Cas9 mRNA and 200 ng/ÂµL sgRNAs,No,No,CRISPR
China,"Sheep
          (",Ovis aries,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=129&RegProcess=0,"Northwest A&F UniversityYangling 712100, ShaanxiCN",Embryo edit,microinjection approach of the CRISPR/Cas9 system,No,No,CRISPR
China,"Sheep
          (",Ovis aries,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=133&RegProcess=0,"Biological Sciences Section, Central Research Institute for Feed and LivestockZen-noh, Ibaraki 300-4204JP",Embryo edit,,No,No,CRISPR
Japan,"Pig
          (",Sus scrofa domesticus,NANOS3,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=182&RegProcess=0,"Department of Marine Biosciences, Tokyo University of Marine Science and Technology4-5-7 Konan, Minato-Ku, Tokyo, 108-8477JP",Embryo edit,,No,No,CRISPR
Japan,"Rainbow trout
          (",Oncorhynchus mykiss,dnd,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=99&RegProcess=0,"Seoul National University, Gwanak-gu151-921KR",Embryo edit,"exon 2 targeted and sgRNA, Cas0 mRNA and sgRNA were injected into zygotes",No,No,CRISPR
South Korea,"Cattle
          (",Bos taurus,MSTN,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=43&RegProcess=0,"University of California, DavisUS",Embryo edit,RNPs were delivered via cytoplasmic microinjection of single-cell bovine embryos,No,No,CRISPR
United States,"Cattle
          (",Bos taurus,NANOS3,https://www.isaaa.org/animalbiotechdatabase/details/default.asp?ABDEntryID=46&RegProcess=0,"School of Fisheries, Aquaculture and Aquatic Sciences, Auburn UniversityAuburn, AL, 36849US",Embryo edit,Insertion of an elovl2 transgene isolated from masu salmon (Oncorhynchus masou) driven by a carp Ã-actin promoter using a two-hit by gRNA and two oligos with a targeting plasmid (2H2OP) CRISPR/Cas9 approach.,Yes,No,CRISPR
